"Successful dribbles, %",Successful attacking actions per 90,Crosses per 90,Dribbles per 90,"Offensive duels won, %","Accurate passes, %","Shots on target, %","Accurate passes to penalty area, %",Crosses to goalie box per 90,Short / medium passes per 90,"Accurate short / medium passes, %",Passes to penalty area per 90,Key passes per 90,Shot assists per 90,Received passes per 90,Passes per 90,Duels per 90,"Duels won, %","Accurate crosses, %","Goal conversion, %",Assists,Non-penalty goals
35.48,3.58,1.25,5.55,30.65,75.59,37.5,60.0,0.0,19.86,81.08,2.68,0.18,0.54,17.36,22.72,16.82,39.36,42.86,12.5,0,1
44.83,4.03,3.26,5.57,46.03,71.17,28.57,35.0,0.19,26.1,78.68,3.84,0.96,1.15,21.68,31.28,26.87,43.57,23.53,0.0,2,0
44.74,4.66,1.86,7.08,42.5,82.61,41.67,52.94,0.19,18.45,88.89,3.17,0.56,0.56,16.96,21.43,22.55,42.15,30.0,0.0,1,0
30.0,2.36,3.54,3.93,37.5,77.94,0.0,33.33,0.39,22.4,85.96,1.18,0.0,0.39,14.93,26.72,22.4,42.11,33.33,0.0,0,0
100.0,1.91,0.0,1.91,80.0,66.67,0.0,33.33,0.0,26.81,71.43,5.74,0.0,0.0,21.06,28.72,24.89,61.54,0.0,0.0,0,0
37.25,2.99,2.39,3.39,29.46,80.27,41.18,52.94,0.66,26.04,85.71,3.39,0.66,1.06,20.99,29.96,18.13,37.36,44.44,17.647,0,3
61.54,5.59,1.68,7.27,61.9,73.58,50.0,50.0,0.56,24.6,79.55,2.24,0.56,0.56,21.24,29.63,35.78,50.0,33.33,0.0,0,0
58.33,6.12,1.75,5.24,45.83,74.36,60.0,75.0,0.44,14.85,76.47,1.75,0.87,0.87,14.42,17.04,26.65,44.26,75.0,20.0,0,1
66.67,2.65,0.0,3.97,42.86,60.0,0.0,0.0,0.0,18.53,64.29,1.32,0.0,0.0,18.53,19.85,23.82,44.44,0.0,0.0,0,0
54.84,6.48,0.76,11.82,45.1,84.71,0.0,40.0,0.0,28.98,89.47,1.91,0.0,1.14,25.93,32.42,37.37,43.88,0.0,0.0,1,0
63.64,1.49,0.88,0.96,36.36,78.9,20.0,38.1,0.18,26.9,83.39,1.84,0.18,0.26,23.31,30.32,14.99,47.37,20.0,10.0,0,1
54.32,3.91,1.58,4.73,34.41,80.6,44.44,32.0,0.41,20.84,86.27,1.46,0.18,0.41,16.05,23.17,21.13,41.16,22.22,11.111,1,4
